Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Rating,Developers
PaRappa The Rapper,PS,1996,Misc,Sony Computer Entertainment,0.26,0.16,1.46,0.03,1.92,92,15,7.4,48,K-A,[NanaOn-Sha]
Guitar Hero: World Tour,PS3,2008,Misc,Activision,1.1,0.55,0,0.27,1.92,84,43,7.5,80,T,[Neversoft Entertainment]
Need for Speed: Shift,X360,2009,Racing,Electronic Arts,0.73,0.96,0.01,0.22,1.91,83,75,6.5,134,E,[Slightly Mad Studios]
Diablo III,PS3,2013,Role-Playing,Activision,0.72,0.75,0.15,0.29,1.91,86,43,6.4,557,M,[Blizzard Entertainment]
LittleBigPlanet 3,PS4,2014,Platform,Sony Computer Entertainment,0.66,0.93,0.01,0.31,1.91,79,78,7.1,506,E,[Sumo Digital]
Star Wars Rogue Leader: Rogue Squadron II,GC,2001,Simulation,LucasArts,1.03,0.75,0.03,0.09,1.9,90,45,8.6,80,T,[Factor 5]
Mario Super Sluggers,Wii,2008,Sports,Nintendo,1.48,0,0.29,0.12,1.89,69,31,7.8,58,E,[Namco Bandai Games]
Monopoly,Wii,2008,Misc,Electronic Arts,0.86,0.83,0,0.2,1.89,70,11,7.8,17,E,[Electronic Arts]
Madden NFL 09,PS3,2008,Sports,Electronic Arts,1.56,0.14,0,0.18,1.88,85,38,4.4,132,E,[EA Tiburon]
Batman: Arkham Origins,X360,2013,Action,Warner Bros. Interactive Entertainment,1.15,0.56,0,0.17,1.88,74,46,7.5,685,T,[WB Games Montreal]
Game Party 2,Wii,2008,Misc,Midway Games,1.28,0.43,0,0.17,1.88,29,7,4.6,7,E,[Midway]
Mortal Kombat: Deception,PS2,2004,Fighting,Midway Games,0.92,0.72,0,0.24,1.88,81,43,8.5,90,M,[Midway]
NBA 2K17,PS4,2016,Sports,Take-Two Interactive,1.25,0.27,0.02,0.34,1.88,88,47,6.7,162,E,[Visual Concepts]
Toy Story Mania!,Wii,2009,Misc,Disney Interactive Studios,1.04,0.66,0,0.18,1.88,49,15,6.6,13,E,[Papaya Studios]
Star Fox Adventures,GC,2002,Adventure,Nintendo,0.96,0.53,0.3,0.09,1.87,82,39,7.7,145,T,[Rare Ltd.]
Madden NFL 25,PS3,2013,Sports,Electronic Arts,1.6,0.03,0,0.24,1.87,76,19,4.1,91,E,[EA Sports]
Dynasty Warriors 3,PS2,2001,Action,THQ,0.53,0.16,1.07,0.1,1.87,78,17,9.1,90,T,[Omega Force]
Madden NFL 06,XB,2005,Sports,Electronic Arts,1.75,0.03,0,0.08,1.86,86,39,6.7,41,E,[EA Sports]
Shrek 2,PS2,2004,Platform,Activision,1.12,0.69,0.03,0.02,1.86,71,32,8.5,24,E,"[Luxoflux, Inc.]"
The Legend of Dragoon,PS,1999,Role-Playing,Sony Computer Entertainment,0.94,0.44,0.39,0.1,1.86,74,12,8.4,248,T,[SCEI]
Star Wars: The Force Unleashed,Wii,2008,Action,LucasArts,1.11,0.56,0,0.18,1.86,71,18,7.9,75,T,[Krome Studios]
NBA Live 2002,PS2,2001,Sports,Electronic Arts,0.91,0.71,0,0.24,1.86,70,16,7.4,8,E,[Electronic Arts]
Just Cause 3,PS4,2015,Action,Square Enix,0.47,1.03,0.07,0.28,1.86,73,42,6.5,403,M,[Avalanche Studios]
Chrono Cross,PS,1999,Role-Playing,SquareSoft,0.62,0.42,0.69,0.12,1.86,94,16,8.1,297,T,[SquareSoft]
Jak 3,PS2,2004,Platform,Sony Computer Entertainment,1.33,0.49,0,0.03,1.85,84,55,8.6,246,T,[Naughty Dog]
Kingdom Hearts: Chain of Memories,GBA,2004,Role-Playing,Square Enix,1.26,0.18,0.35,0.06,1.85,76,37,7.9,84,E,[Jupiter Corporation]
Max Payne 3,PS3,2012,Shooter,Take-Two Interactive,0.59,0.89,0.06,0.3,1.85,87,31,7.8,790,M,[Rockstar Studios]
LEGO Marvel Super Heroes,PS3,2013,Action,Warner Bros. Interactive Entertainment,0.77,0.76,0.01,0.29,1.84,82,22,7.9,76,E10+,[TT Games]
Phineas and Ferb,DS,2009,Action,Disney Interactive Studios,1.32,0.37,0,0.15,1.84,80,4,4.5,8,E,[Altron]
NCAA Football 06,PS2,2005,Sports,Electronic Arts,1.53,0.05,0,0.25,1.84,87,25,8.5,36,E,[EA Sports]
Rayman Raving Rabbids 2,Wii,2007,Misc,Ubisoft,0.82,0.82,0,0.2,1.83,67,25,8.3,66,E10+,[Ubisoft Montpellier]
Kirby: Triple Deluxe,3DS,2014,Platform,Nintendo,0.61,0.34,0.79,0.09,1.83,80,68,8.8,206,E,[HAL Labs]
Sonic Classic Collection,DS,2010,Platform,Sega,0.92,0.73,0,0.17,1.83,70,24,7.5,28,E,[Creative Assembly]
inFAMOUS 2,PS3,2011,Action,Sony Computer Entertainment,1.05,0.47,0.08,0.22,1.82,83,90,8.4,932,T,[Sucker Punch]
World of Warcraft: Mists of Pandaria,PC,2012,Role-Playing,Activision,0.84,0.76,0,0.22,1.82,82,42,4.8,1265,T,[Blizzard Entertainment]
Namco Museum,PS2,2001,Misc,Namco Bandai Games,1.73,0.07,0,0.02,1.82,72,9,6,5,E,[Mass Media]
The Sims: Hot Date,PC,2001,Simulation,Electronic Arts,1.81,0,0,0,1.82,85,17,7.9,70,T,[Maxis]
Demon's Souls,PS3,2009,Role-Playing,Namco Bandai Games,0.97,0.33,0.35,0.17,1.82,89,81,8.9,1441,M,[From Software]
The Orange Box,X360,2007,Shooter,Electronic Arts,1.09,0.53,0.02,0.17,1.82,96,54,8.9,797,M,[Valve Software]
DDRMAX2: Dance Dance Revolution,PS2,2003,Simulation,Konami Digital Entertainment,1.05,0.59,0,0.18,1.81,82,27,8.2,11,E,[Konami]
Virtua Fighter 4,PS2,2002,Fighting,Sega,0.78,0.44,0.56,0.04,1.81,94,36,8,84,T,[Sega AM2]
Mafia III,PS4,2016,Action,Take-Two Interactive,0.42,1.08,0.03,0.28,1.81,68,66,5.1,1147,M,[Hangar 13]
Sly 2: Band of Thieves,PS2,2004,Platform,Sony Computer Entertainment,0.88,0.69,0,0.23,1.81,88,64,9,178,E,[Sucker Punch]
Sonic Advance 2,GBA,2002,Platform,Sega,0.93,0.59,0.21,0.07,1.8,83,23,8.3,46,E,[Dimps Corporation]
Madden NFL 07,X360,2006,Sports,Electronic Arts,1.66,0,0.01,0.13,1.8,80,54,6,148,E,[EA Tiburon]
NBA 2K11,PS3,2010,Action,Take-Two Interactive,1.41,0.2,0.03,0.16,1.8,89,46,7.6,105,E,[Visual Concepts]
Forza Motorsport 6,XOne,2015,Racing,Microsoft Game Studios,0.73,0.9,0.03,0.14,1.8,87,85,7.9,863,E,[Turn 10]
The Evil Within,PS4,2014,Action,Bethesda Softworks,0.55,0.86,0.11,0.27,1.79,75,65,7.3,1223,M,[Tango Gameworks]
Metroid Prime 3: Corruption,Wii,2007,Shooter,Nintendo,0.89,0.74,0.07,0.09,1.79,90,62,8.9,491,T,[Retro Studios]
Midnight Club II,PS2,2003,Racing,Take-Two Interactive,1.25,0.29,0,0.24,1.78,85,41,8.5,47,T,[Rockstar San Diego]
The Getaway: Black Monday,PS2,2004,Action,Sony Computer Entertainment,0.39,1.01,0.02,0.36,1.78,57,53,7.6,47,M,[SCEE London Studio]
50 Cent: Bulletproof,PS2,2005,Action,Vivendi Games,0.85,0.76,0,0.16,1.77,47,21,6.6,129,M,[Genuine Games]
Dead or Alive 3,XB,2001,Fighting,Microsoft Game Studios,1.19,0.29,0.24,0.06,1.77,87,35,8.6,44,T,[Team Ninja]
Dragon Quest Monsters: Joker,DS,2006,Role-Playing,Square Enix,0.23,0.02,1.49,0.02,1.76,75,30,7.4,27,E10+,[TOSE]
LEGO Star Wars III: The Clone Wars,Wii,2011,Action,LucasArts,1.01,0.6,0,0.15,1.76,76,7,7.7,10,E10+,[Traveller's Tales]
UFC 2009 Undisputed,PS3,2009,Fighting,THQ,1.07,0.44,0.01,0.24,1.76,84,58,8.1,47,T,[THQ]
The SpongeBob SquarePants Movie,PS2,2004,Platform,THQ,1.06,0.54,0,0.16,1.76,75,5,9,54,E,[Heavy Iron Studios]
Golden Sun,GBA,2001,Role-Playing,Nintendo,0.93,0.38,0.4,0.06,1.76,91,29,9.3,198,E,[Camelot Software Planning]
Def Jam: Fight for NY,PS2,2004,Fighting,Electronic Arts,0.86,0.67,0,0.22,1.76,83,46,8.9,73,M,[Aki Corp.]
Tom Clancy's Ghost Recon,XB,2002,Shooter,Ubisoft,1.23,0.46,0,0.07,1.76,84,29,6.1,27,M,[Red Storm Entertainment]
State of Emergency,PS2,2002,Action,Take-Two Interactive,0.86,0.67,0,0.22,1.76,71,34,5.7,33,M,[VIS Entertainment]
The Urbz: Sims in the City,PS2,2004,Simulation,Electronic Arts,0.52,0.95,0,0.29,1.76,70,25,8.2,24,T,[Maxis]
Star Wars: Starfighter,PS2,2001,Simulation,Activision,0.61,0.87,0.02,0.26,1.76,84,25,8,21,T,[LucasArts]
Star Wars: Battlefront,XB,2004,Shooter,Activision,1.24,0.45,0,0.07,1.75,80,55,9.1,57,T,[Pandemic Studios]
Madden NFL 17,PS4,2016,Sports,Electronic Arts,1.25,0.17,0,0.32,1.75,82,35,4.9,83,E,[EA Sports]
Just Cause 2,PS3,2010,Action,Square Enix,0.45,0.92,0.06,0.32,1.75,83,66,8,291,M,[Avalanche Studios]
FIFA Soccer 08,PS3,2007,Sports,Electronic Arts,0.35,1.06,0.02,0.31,1.75,81,28,7.1,47,E,[EA Canada]
Crackdown,X360,2007,Shooter,Microsoft Game Studios,1,0.53,0.03,0.18,1.75,83,75,8,340,M,[Realtime Worlds]
Wii Party U,WiiU,2013,Misc,Nintendo,0.3,0.56,0.84,0.05,1.75,65,38,6.8,135,E,[Nd Cube]
Dance Dance Revolution X,PS2,2008,Simulation,Konami Digital Entertainment,0.85,0.66,0.01,0.22,1.75,55,6,6.2,6,E10+,[Konami]
Xenosaga Episode I: Der Wille zur Macht,PS2,2002,Role-Playing,Namco Bandai Games,0.63,0.49,0.45,0.17,1.74,83,35,8.7,99,T,[Monolith Soft]
Kinect Star Wars,X360,2012,Action,Microsoft Game Studios,1.05,0.52,0.03,0.14,1.74,55,61,3.5,145,T,[Terminal Reality]
